,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
38,-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,NEAR_BAY,4.757281553398058,0.22448979591836735,2.2297734627831716,191400.0
17797,-122.32,40.57,15.0,2524.0,449.0,1374.0,467.0,3.3816,INLAND,5.404710920770878,0.17789223454833597,2.942184154175589,93800.0
4783,-118.26,34.01,47.0,1269.0,323.0,1628.0,325.0,1.5089,1H_OCEAN,3.9046153846153846,0.2545311268715524,5.009230769230769,115800.0
10621,-117.92,33.84,38.0,1316.0,263.0,671.0,278.0,3.2969,1H_OCEAN,4.733812949640288,0.19984802431610943,2.4136690647482015,220000.0
18654,-120.98,37.57,27.0,925.0,176.0,449.0,168.0,2.6406,INLAND,5.505952380952381,0.19027027027027027,2.6726190476190474,129700.0
19305,-119.17,34.21,33.0,1039.0,256.0,1432.0,272.0,3.1103,NEAR_OCEAN,3.8198529411764706,0.24639076034648702,5.264705882352941,143500.0
15925,-120.63,35.27,23.0,1630.0,253.0,704.0,263.0,5.156,NEAR_OCEAN,6.197718631178708,0.15521472392638036,2.67680608365019,251300.0
1361,-122.12,38.0,20.0,6992.0,1404.0,3221.0,1334.0,4.2042,NEAR_BAY,5.241379310344827,0.20080091533180777,2.414542728635682,166400.0
9157,-121.02,37.09,17.0,1118.0,270.0,560.0,244.0,2.0216,INLAND,4.581967213114754,0.24150268336314848,2.2950819672131146,112500.0
12705,-117.64,34.08,37.0,2576.0,468.0,1284.0,428.0,3.3958,INLAND,6.018691588785047,0.18167701863354038,3.0,130400.0
10789,-117.92,33.74,24.0,5321.0,1063.0,4011.0,1047.0,4.3882,1H_OCEAN,5.082139446036294,0.19977447848148844,3.830945558739255,189300.0
15814,-121.22,37.8,13.0,335.0,89.0,247.0,77.0,1.6111,INLAND,4.35064935064935,0.2656716417910448,3.207792207792208,74100.0
14577,-117.09,32.91,9.0,2012.0,316.0,802.0,289.0,6.5706,1H_OCEAN,6.961937716262976,0.15705765407554673,2.7750865051903113,255700.0
13397,-117.13,34.88,21.0,3254.0,669.0,1548.0,545.0,2.3373,INLAND,5.970642201834862,0.20559311616472034,2.840366972477064,57100.0
14020,-117.21,32.8,34.0,1398.0,222.0,532.0,244.0,3.7102,NEAR_OCEAN,5.729508196721311,0.15879828326180256,2.180327868852459,289600.0
15939,-120.69,35.26,20.0,1248.0,231.0,722.0,225.0,4.625,NEAR_OCEAN,5.546666666666667,0.18509615384615385,3.2088888888888887,221800.0
12368,-121.3,38.69,21.0,6575.0,1105.0,3358.0,1098.0,4.0739,INLAND,5.98816029143898,0.16806083650190115,3.058287795992714,115400.0
10049,-117.71,33.64,14.0,2945.0,356.0,1293.0,335.0,8.111,1H_OCEAN,8.791044776119403,0.12088285229202038,3.8597014925373134,308900.0
8639,-118.23,34.66,25.0,2627.0,387.0,1059.0,338.0,3.6382,INLAND,7.772189349112426,0.14731633041492195,3.133136094674556,138200.0
19522,-118.67,34.3,5.0,6123.0,825.0,2440.0,736.0,7.9013,1H_OCEAN,8.31929347826087,0.1347378735913768,3.3152173913043477,393000.0
18802,-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,INLAND,4.390781563126253,0.2250114103149247,2.6192384769539077,60800.0
10225,-117.91,33.64,29.0,1652.0,310.0,832.0,326.0,4.8098,1H_OCEAN,5.067484662576687,0.18765133171912832,2.5521472392638036,325400.0
12103,-121.39,38.57,33.0,2648.0,357.0,863.0,359.0,8.4016,INLAND,7.376044568245125,0.13481873111782477,2.403899721448468,338700.0
4718,-118.29,34.03,42.0,907.0,378.0,822.0,288.0,1.2875,1H_OCEAN,3.1493055555555554,0.41675854465270123,2.8541666666666665,179200.0
2839,-118.93,35.37,34.0,2412.0,446.0,1558.0,421.0,2.6903,INLAND,5.729216152019003,0.18490878938640132,3.700712589073634,62800.0
9581,-121.03,39.37,15.0,1337.0,326.0,1172.0,306.0,2.6341,INLAND,4.369281045751634,0.243829468960359,3.8300653594771243,85000.0
4704,-118.31,34.04,29.0,2038.0,578.0,2070.0,570.0,2.0658,1H_OCEAN,3.575438596491228,0.28361138370951916,3.6315789473684212,214600.0
15457,-121.28,37.95,46.0,1026.0,330.0,1109.0,333.0,1.2904,INLAND,3.081081081081081,0.3216374269005848,3.33033033033033,63300.0
5499,-118.24,34.16,52.0,1904.0,297.0,797.0,286.0,6.6603,1H_OCEAN,6.6573426573426575,0.1559873949579832,2.7867132867132867,380400.0
11252,-120.22,39.2,22.0,8259.0,1409.0,845.0,353.0,3.3699,INLAND,23.39660056657224,0.17060176776849498,2.3937677053824364,244000.0
16076,-122.41,37.66,37.0,2155.0,446.0,1255.0,428.0,3.8438,NEAR_OCEAN,5.035046728971962,0.20696055684454756,2.932242990654206,250700.0
16431,-119.67,34.43,39.0,1467.0,381.0,1404.0,374.0,2.3681,1H_OCEAN,3.9224598930481283,0.25971370143149286,3.7540106951871657,241400.0
13427,-117.16,32.74,21.0,1882.0,486.0,903.0,482.0,3.06,NEAR_OCEAN,3.904564315352697,0.25823591923485656,1.8734439834024896,243800.0
17822,-122.31,40.45,10.0,1187.0,236.0,728.0,248.0,2.0469,INLAND,4.786290322580645,0.1988205560235889,2.935483870967742,66800.0
10796,-117.98,33.7,17.0,1989.0,411.0,1401.0,453.0,4.1603,1H_OCEAN,4.3907284768211925,0.2066365007541478,3.0927152317880795,160500.0
